here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/HEER_scores.txt
edge is 7:d-1with avg mrr 0.9587718678627769
edge is 80:dwith avg mrr 0.9693396226415094
edge is 80:d-1with avg mrr 0.9245283018867925
edge is 81:dwith avg mrr 0.7358974358974358
edge is 81:d-1with avg mrr 0.7564102564102565
edge is 82:dwith avg mrr 0.5341048278056157
edge is 82:d-1with avg mrr 0.6578399290997716
edge is 83:dwith avg mrr 0.5651488915125279
edge is 83:d-1with avg mrr 0.6862632821723731
edge is 84:dwith avg mrr 0.9034920634920635
edge is 84:d-1with avg mrr 0.8516865079365079
edge is 85:dwith avg mrr 0.8196726763923295
edge is 85:d-1with avg mrr 0.7495011010184423
edge is 86:dwith avg mrr 0.9370851370851371
edge is 86:d-1with avg mrr 0.9085648148148148
edge is 87:dwith avg mrr 0.5246988518727648
edge is 87:d-1with avg mrr 0.47475688562645085
edge is 88:dwith avg mrr 0.8171428571428571
edge is 88:d-1with avg mrr 0.9118055555555555
edge is 89:dwith avg mrr 0.943786295005807
edge is 89:d-1with avg mrr 0.9608594657375145
edge is 8:dwith avg mrr 0.9600467289719624
edge is 8:d-1with avg mrr 0.9795171339563862
edge is 90:dwith avg mrr 0.9035087719298245
edge is 90:d-1with avg mrr 0.9122807017543861
edge is 91:dwith avg mrr 0.6393939393939395
edge is 91:d-1with avg mrr 0.893939393939394
edge is 92:dwith avg mrr 0.9682634730538922
edge is 92:d-1with avg mrr 0.9177100344765015
edge is 93:dwith avg mrr 0.9666666666666667
edge is 93:d-1with avg mrr 1.0
edge is 94:dwith avg mrr 0.410902148166299
edge is 94:d-1with avg mrr 0.38878747039124395
edge is 95:dwith avg mrr 0.8821583178726037
edge is 95:d-1with avg mrr 0.8008658008658011
edge is 96:dwith avg mrr 1.0
edge is 96:d-1with avg mrr 1.0
edge is 97:dwith avg mrr 0.96875
edge is 97:d-1with avg mrr 0.8802083333333334
edge is 98:dwith avg mrr 1.0
edge is 98:d-1with avg mrr 1.0
edge is 99:dwith avg mrr 0.9444444444444444
edge is 99:d-1with avg mrr 0.9444444444444444
edge is 9:dwith avg mrr 1.0
edge is 9:d-1with avg mrr 0.9875
macro avg is 0.8048919203570912
micro avg is 0.8298923471359624
hits@1 is 0.7444710832762501
hits@5 is 0.9348028182796752
hits@10 is 0.9845141403268421
