here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/DistMult_scores.txt
edge is 38:d-1with avg mrr 0.3410979382570294
edge is 39:dwith avg mrr 0.1679501054501055
edge is 39:d-1with avg mrr 0.21940189440189434
edge is 3:dwith avg mrr 0.16809910956252413
edge is 3:d-1with avg mrr 0.1609624115721677
edge is 40:dwith avg mrr 0.283234126984127
edge is 40:d-1with avg mrr 0.24921085858585856
edge is 41:dwith avg mrr 0.3989673520923525
edge is 41:d-1with avg mrr 0.19889781271360216
edge is 42:dwith avg mrr 0.17119278687906128
edge is 42:d-1with avg mrr 0.4731413103962127
edge is 43:dwith avg mrr 0.3403463699908655
edge is 43:d-1with avg mrr 0.20078016402557744
edge is 44:dwith avg mrr 0.17944109461966595
edge is 44:d-1with avg mrr 0.22325895004466426
edge is 45:dwith avg mrr 0.1505862193362193
edge is 45:d-1with avg mrr 0.12323232323232321
edge is 46:dwith avg mrr 0.16551406926406922
edge is 46:d-1with avg mrr 0.20732593795093796
edge is 47:dwith avg mrr 0.4445754271688852
edge is 47:d-1with avg mrr 0.4636299577888363
edge is 48:dwith avg mrr 0.7919592103802626
edge is 48:d-1with avg mrr 0.19052876947613842
edge is 49:dwith avg mrr 0.1445887445887446
edge is 49:d-1with avg mrr 0.25555555555555554
edge is 4:dwith avg mrr 0.5097222222222223
edge is 4:d-1with avg mrr 0.3025132275132275
edge is 50:dwith avg mrr 0.19407360858973757
edge is 50:d-1with avg mrr 0.2366118946764108
edge is 51:dwith avg mrr 0.3805134680134679
edge is 51:d-1with avg mrr 0.38320105820105815
edge is 52:dwith avg mrr 0.13317601642343907
edge is 52:d-1with avg mrr 0.12505467041549514
edge is 54:dwith avg mrr 0.1410632296995933
edge is 54:d-1with avg mrr 0.15650006559097468
edge is 55:dwith avg mrr 0.2948051948051948
edge is 55:d-1with avg mrr 0.458080808080808
edge is 56:dwith avg mrr 0.2126630892255892
edge is 56:d-1with avg mrr 0.21625180375180375
edge is 57:dwith avg mrr 0.09090909090909091
edge is 57:d-1with avg mrr 0.09545454545454546
edge is 58:dwith avg mrr 0.42082382264200446
edge is 58:d-1with avg mrr 0.3910409287682014
edge is 59:dwith avg mrr 0.2759431723247512
edge is 59:d-1with avg mrr 0.37375968329915693
edge is 5:dwith avg mrr 0.42595238095238097
edge is 5:d-1with avg mrr 0.22333333333333333
edge is 60:dwith avg mrr 0.40750060125060117
edge is 60:d-1with avg mrr 0.31644600769600767
edge is 61:dwith avg mrr 0.24639890973224302
edge is 61:d-1with avg mrr 0.2588343755010421
edge is 62:dwith avg mrr 0.44714285714285706
edge is 62:d-1with avg mrr 0.4181428571428571
edge is 63:dwith avg mrr 0.20895949288806426
edge is 63:d-1with avg mrr 0.2171217274788703
edge is 64:dwith avg mrr 0.5097069597069598
edge is 64:d-1with avg mrr 0.45128205128205134
edge is 65:dwith avg mrr 0.09510489510489512
edge is 65:d-1with avg mrr 0.1345571095571096
edge is 66:dwith avg mrr 0.24198034206230987
edge is 66:d-1with avg mrr 0.2240899628604552
edge is 67:dwith avg mrr 0.33714526214526214
edge is 67:d-1with avg mrr 0.25397306397306396
edge is 68:dwith avg mrr 0.14161423202120882
edge is 68:d-1with avg mrr 0.14233950803718248
edge is 69:dwith avg mrr 0.15844900249662144
edge is 69:d-1with avg mrr 0.17815456148789466
edge is 6:dwith avg mrr 0.43825213861098994
edge is 6:d-1with avg mrr 0.4594394042958625
edge is 70:dwith avg mrr 0.3001457431457431
edge is 70:d-1with avg mrr 0.1861774891774892
edge is 71:dwith avg mrr 0.37373593648494063
edge is 71:d-1with avg mrr 0.27026913989065426
edge is 72:dwith avg mrr 0.892921146953405
edge is 72:d-1with avg mrr 0.9333333333333335
edge is 73:dwith avg mrr 0.23409850383534597
edge is 73:d-1with avg mrr 0.34574124705703646
edge is 74:dwith avg mrr 0.2542776667776668
edge is 74:d-1with avg mrr 0.3478646353646354
edge is 75:dwith avg mrr 0.11151133981322653
edge is 75:d-1with avg mrr 0.11139698875547925
edge is 76:dwith avg mrr 0.18502041983174114
edge is 76:d-1with avg mrr 0.24026899725012982
edge is 77:dwith avg mrr 0.11789977699068611
edge is 77:d-1with avg mrr 0.11570247933884295
edge is 78:dwith avg mrr 0.09858585858585858
edge is 78:d-1with avg mrr 0.16857142857142854
edge is 79:dwith avg mrr 0.1230605373462516
edge is 79:d-1with avg mrr 0.16081563938706797
edge is 7:dwith avg mrr 0.18558894808894813
edge is 7:d-1with avg mrr 0.2541347541347535
edge is 80:dwith avg mrr 0.11345871110022049
edge is 80:d-1with avg mrr 0.1777294508426584
edge is 81:dwith avg mrr 0.21197968697968697
edge is 81:d-1with avg mrr 0.1951964701964702
edge is 82:dwith avg mrr 0.20425799047846288
edge is 82:d-1with avg mrr 0.25284623512969967
edge is 83:dwith avg mrr 0.26632165813984
edge is 83:d-1with avg mrr 0.2562160566706021
edge is 84:dwith avg mrr 0.3680242905242904
edge is 84:d-1with avg mrr 0.3547576960076959
edge is 85:dwith avg mrr 0.40321578710307043
edge is 85:d-1with avg mrr 0.22324556464729908
edge is 86:dwith avg mrr 0.1658841819556105
edge is 86:d-1with avg mrr 0.4554288634645777
edge is 87:dwith avg mrr 0.29333239224543556
edge is 87:d-1with avg mrr 0.380660643704122
edge is 88:dwith avg mrr 0.263234126984127
edge is 88:d-1with avg mrr 0.24835858585858586
edge is 89:dwith avg mrr 0.1425877742079834
edge is 89:d-1with avg mrr 0.11180986067745645
edge is 8:dwith avg mrr 0.19344159215654588
edge is 8:d-1with avg mrr 0.19464235141805283
edge is 90:dwith avg mrr 0.15337776258828892
edge is 90:d-1with avg mrr 0.5217418546365916
edge is 91:dwith avg mrr 0.7203856749311295
edge is 91:d-1with avg mrr 0.674931129476584
edge is 92:dwith avg mrr 0.1040734548219578
edge is 92:d-1with avg mrr 0.10002981050885255
edge is 93:dwith avg mrr 0.11631673881673882
edge is 93:d-1with avg mrr 0.23809644059644064
edge is 94:dwith avg mrr 0.17938617985787791
edge is 94:d-1with avg mrr 0.1969424705273761
edge is 95:dwith avg mrr 0.1781924064391596
edge is 95:d-1with avg mrr 0.21038117726429403
edge is 96:dwith avg mrr 0.2281880264438404
edge is 96:d-1with avg mrr 0.17110137924091406
